DESCRIPTION,LOCATION,MANUFACTURER,MODEL,YEAR,FUEL TYPE,KMS DRIVEN,PRICE
Ford Fiesta Zxi 1.4 Tdci (make Year 2010) (diesel),Chennai,Ford,Fiesta,2010,Diesel,63000,320000
2013 Renault Duster diesel 38000 Kms,Chennai,Renault,Duster,2013,Diesel,38000,690000
Maruti Suzuki Alto Lxi Bs-iv (make Year 2010) (petrol),Chennai,Maruti Suzuki,Alto,2010,Petrol,48000,190000
Hyundai Eon D-lite + (make Year 2013) (petrol),Chennai,Hyundai,Eon,2013,Petrol,15000,265000
Tata Indica V2 diesel 150000 Kms 2011 year,Chennai,Tata,Indica V2,2011,Diesel,150000,120000
"I10,Magna,2010,1.2 Kappa,New Tyers,Non Flooded,Excellent",Chennai,Hyundai,I10,2010,Petrol,61000,255000
2010 Chevrolet Cruze diesel 67000 Kms,Chennai,Chevrolet,Cruze,2010,Diesel,67000,725000
Maruti Suzuki Swift Dzire Vdi (make Year 2012) (diesel),Chennai,Maruti Suzuki,Swift Dzire,2012,Diesel,75000,460000
Chevrolet Spark Ls 1.0 Bs-iii (make Year 2010) (petrol),Chennai,Chevrolet,Spark,2010,Petrol,45000,225000
Maruti Suzuki Ritz Vxi Bs-iv (make Year 2010) (petrol),Chennai,Maruti Suzuki,Ritz,2010,Petrol,55000,270000
Ford Fiesta Zxi 1.4 Tdci (make Year 2010) (diesel),Chennai,Ford,Fiesta,2010,Diesel,70000,350000
Mahindra Scorpio Sle Bs-iv (make Year 2012) (diesel),Chennai,Mahindra,Scorpio,2012,Diesel,420003,725000
Maruti Suzuki Swift Dzire Vdi (make Year 2012) (diesel),Chennai,Maruti Suzuki,Swift Dzire,2012,Diesel,45000,550000
Maruti Suzuki Ritz Vdi Bs-iv (make Year 2013) (diesel),Chennai,Maruti Suzuki,Ritz,2013,Diesel,35000,480000
Tata Indica V2 Dle Bs-iii (make Year 2010) (diesel),Chennai,Tata,Indica V2,2010,Diesel,85000,90000
2012 Tata Indica V2 diesel 119000 Kms,Chennai,Tata,Indica V2,2012,Diesel,119000,175000
chevrolet enjoy ltz,Chennai,Chevrolet,Enjoy,2015,Diesel,50,945000
Maruti Suzuki 1000 petrol 53000 Kms 2010 year,Chennai,Maruti Suzuki,1000,2010,Petrol,53000,195000
Tata sumo gold 2012 (pondy),Chennai,Tata,Sumo Gold,2012,Diesel,82000,395000
Mahindra Xuv500 W10 (make Year 2015) (diesel),Chennai,Mahindra,Xuv500,2015,Diesel,25000,1550000
chevrolet spark 2011,Chennai,Chevrolet,Spark,2011,Petrol,40000,195000
Skoda Laura petrol 115000 Kms 2012 year,Chennai,Skoda,Laura,2012,Petrol,115000,500000
Maruti Suzuki Eeco (make Year 2013) (petrol),Chennai,Maruti Suzuki,Eeco,2013,Petrol,41000,330000
Company Owned Hyundai Fludic Verna 1.4 Diesel,Chennai,Hyundai,Verna,2012,Diesel,68000,575000
black hyndai xcent s(o),Chennai,Hyundai,Xcent,2014,Diesel,29992,600000
Hyundai Grand i10 Sportz (2015) -13600km,Chennai,Hyundai,Grand I 10,2015,Petrol,13600,465000
2011 Tata Nano petrol 66000 Kms,Chennai,Tata,Nano,2011,Petrol,66000,75000
Ford Figo Duratorq Diesel Zxi 1.4 (make Year 2014) (diesel),Chennai,Ford,Figo,2014,Diesel,38000,435000
Maruti Suzuki A-star Vxi At (make Year 2012) (petrol),Chennai,Maruti Suzuki,A Star,2012,Petrol,30800,345000
Honda City E (make Year 2012) (petrol),Chennai,Honda,City,2012,Petrol,42000,530000
2016 Maruti Suzuki Ciaz diesel 1050 Kms,Chennai,Maruti Suzuki,Ciaz,2016,Diesel,1050,1075000
Chevrolet Spark Ps 1.0 (make Year 2010) (petrol),Chennai,Chevrolet,Spark,2010,Petrol,52000,180000
Mercedes-benz E-class E 250 Cdi Avantgarde (make Year 2011),Chennai,Mercedes-Benz,E Class,2011,Diesel,40000,2900000
"Tata Venture 2012- Kelambakkam, Chennai",Chennai,Tata,Venture,2012,Diesel,124000,175000
Ford Fiesta Exi 1.4 (make Year 2010) (diesel),Chennai,Ford,Fiesta,2010,Diesel,77000,325000
Tata Indica V2 diesel 110000 Kms 2010 year,Chennai,Tata,Indica V2,2010,Diesel,110000,150000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Chennai,Maruti Suzuki,Swift,2012,Diesel,56000,510000
Mahindra Bolero Zlx Bs Iv (make Year 2014) (diesel),Chennai,Mahindra,Bolero,2014,Diesel,58000,695000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Chennai,Maruti Suzuki,Swift,2012,Diesel,59000,525000
Chevrolet Spark Ls 1.0 (make Year 2011) (lpg),Chennai,Chevrolet,Spark,2011,LPG,59000,230000
Maruti Suzuki Wagon R 1.0 Vxi (make Year 2013) (petrol),Chennai,Maruti Suzuki,Wagon R 1.0,2013,Petrol,33000,350000
Hyundai I20 Magna 1.4 Crdi (make Year 2011) (diesel),Chennai,Hyundai,I20,2011,Diesel,69000,360000
2013 Renault Duster diesel 38000 Kms,Chennai,Renault,Duster,2013,Diesel,38000,690000
Chevrolet Beat Ls Petrol (make Year 2010) (petrol),Chennai,Chevrolet,Beat,2010,Petrol,53000,220000
Skoda Fabia Classic 1.2 Tdi (make Year 2010) (diesel),Chennai,Skoda,Fabia,2010,Diesel,80000,320000
Mahindra Bolero Zlx Bs Iv (make Year 2013) (diesel),Chennai,Mahindra,Bolero,2013,Diesel,57000,640000
Maruti Suzuki Omni 5 Str Bs-iv (make Year 2012) (petrol),Chennai,Maruti Suzuki,Omni,2012,Petrol,60000,200000
2013 Tata Indica V2 diesel 118000 Kms,Chennai,Tata,Indica V2,2013,Diesel,118000,310000
Maruti Suzuki Swift Vxi 1.2 Abs Bs-iv (make Year 2014) (petr,Chennai,Maruti Suzuki,Swift,2014,Petrol,6500,500000
Maruti Suzuki Swift Dzire Vxi (make Year 2011) (petrol),Chennai,Maruti Suzuki,Swift Dzire,2011,Petrol,63000,350000
Ford Fiesta Classic Clxi 1.4 Tdci (make Year 2011) (diesel),Chennai,Ford,Fiesta Classic,2011,Diesel,78000,275000
A4 good condition car for sale,Chennai,Audi,A4,2010,Diesel,100000,1425000
Hyundai i20 asta patrol top model,Chennai,Hyundai,I20,2010,Petrol,78000,355000
Hyundai I10 Automatic Sunroof with Top end model,Chennai,Hyundai,I10,2013,Petrol,34000,355000
Hyundai Verna I (make Year 2011) (petrol),Chennai,Hyundai,Verna,2011,Petrol,80000,320000
Honda Brio S Mt (make Year 2013) (petrol),Chennai,Honda,Brio,2013,Petrol,58000,325000
Mahindra Verito 1.5 D4 Bs-iii (make Year 2011) (diesel),Chennai,Mahindra,Verito,2011,Diesel,65000,320000
Hyundai Elantra Crdi (make Year 2013) (diesel),Chennai,Hyundai,Elantra,2013,Diesel,110000,850000
Renault Pulse Rxl Diesel (make Year 2012) (diesel),Chennai,Renault,Pulse,2012,Diesel,57000,360000
"Ford figo- milky white, titanium",Chennai,Ford,Figo,2010,Diesel,88000,280000
tata vista white beautiful platform,Chennai,Tata,Vista,2011,Diesel,60000,265000
Wagon R. Shifted my vehicle from Karnataka for sale due to TN regn,Chennai,Maruti Suzuki,Wagon R,2011,Petrol,42000,250000
"Tata Venture2013/12, reg 2014, Grey Colour, FC & Ins 1 Year Cur",Chennai,Tata,Venture,2014,Diesel,19000,285000
2012 Tata Indica E V2 diesel 100000 Kms,Chennai,Tata,Indica E V2,2012,Diesel,100000,190000
"Mahindra XYLO 2013, D2, 1 owner, 51km only running silver colour, fc",Chennai,Mahindra,Xylo,2013,Diesel,50000,450000
2012 Chevrolet Cruze diesel 90192 Kms,Chennai,Chevrolet,Cruze,2012,Diesel,90192,880000
2011 Tata Indica V2 diesel 88100 Kms,Chennai,Tata,Indica V2,2011,Diesel,88000,145000
2015/hyundai eon+,Chennai,Hyundai,Eon,2015,Petrol,4200,295000
2013 Ford Fiesta diesel 95000 Kms,Chennai,Ford,Fiesta,2013,Diesel,95000,550000
Ford Figo Duratorq Diesel Exi 1.4 (make Year 2011) (diesel),Chennai,Ford,Figo,2011,Diesel,28000,319000
Renault Fluence diesel 60000 Kms 2011 year,Chennai,Renault,Fluence,2011,Diesel,60000,650000
2013 Honda City petrol 18000 Kms,Chennai,Honda,City,2013,Petrol,18000,575000
Hyundai I10 Sportz 1.2 Kappa2 (make Year 2013) (petrol),Chennai,Hyundai,I10,2013,Petrol,56000,349000
Maruthi swift dzire tour,Chennai,Maruti Suzuki,Swift Dzire,2015,Diesel,60000,650000
Maruti Suzuki Ritz Vdi Bs-iv (make Year 2011) (diesel),Chennai,Maruti Suzuki,Ritz,2011,Diesel,69000,359000
Hi guys I have a tata manza aura quadrajet execellent condition,Chennai,Tata,Manza,2011,Diesel,74999,280000
Honda brio automatic.,Chennai,Honda,Brio,2015,Petrol,5000,490000
I 10 good condition,Chennai,Hyundai,I10,2013,Petrol,28000,285000
Tata Indica Vista diesel 62000 Kms 2011 year,Chennai,Tata,Indica Vista,2011,Diesel,62000,340000
Tata zest 1.2L Revtron XT 2016 model,Chennai,Tata,Zest,2016,Petrol,1300,725000
2012 Maruti Suzuki Alto petrol 16000 Kms,Chennai,Maruti Suzuki,Alto,2012,Petrol,16000,240000
2014 Tata Indica Vista diesel 64523 Kms,Chennai,Tata,Indica Vista,2014,Diesel,64523,440000
I want Hyundai fluidic verna diesel,Chennai,Hyundai,Verna,2011,Diesel,50000,500000
2012 Renault Scala diesel 6000 Kms,Chennai,Renault,Scala,2012,Diesel,6000,650000
2012 Tata Aria diesel 150000 Kms,Chennai,Tata,Aria,2012,Diesel,150000,670000
2011 Ledy spark single owner Ls p's pw excellent lpg,Chennai,Chevrolet,Spark,2011,Petrol,42369,169000
Swift Dzire,Chennai,Maruti Suzuki,Swift Dzire,2012,Diesel,118000,365000
Ford Figo diesel 69472 Kms 2010 year,Chennai,Ford,Figo,2010,Diesel,69472,245000
Good Condition Indica V2 LS,Chennai,Tata,Indica V2,2012,Diesel,90550,238000
Hyundai Verna I (make Year 2009) (petrol),Chennai,Hyundai,Verna,2011,Diesel,46000,600000
Tata Indica V2Ls Model 2011 FC Till 30.05.2017,Chennai,Tata,Indica V2,2011,Diesel,87000,150000
Nissan Sunny White Colour,Chennai,Nissan,Sunny,2012,Diesel,38000,600000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2010) (petrol),Chennai,Ford,Figo,2010,Petrol,63000,300000
Volkswagen Jetta diesel 78000 Kms 2011 year,Chennai,Volkswagen,Jetta,2011,Diesel,78000,625000
Hyundai elite i20,Chennai,Hyundai,Elite I20,2014,Diesel,14000,725000
Maruti Suzuki Swift Dzire Zdi (make Year 2013) (diesel),Chennai,Maruti Suzuki,Swift Dzire,2013,Diesel,35000,650000
Hyundai I10 Sportz 1.2 (make Year 2011) (petrol),Chennai,Hyundai,I10,2011,Petrol,29000,340000
I want sell my tata indica v2 LS 2013 model,Chennai,Tata,Indica V2,2013,Diesel,78000,300000
Good looking Tata indica vista with shift engine,Chennai,Tata,Indica Vista,2011,Diesel,78000,300000
Ford Fiesta (make Year 2012) (diesel),Chennai,Ford,Fiesta,2012,Diesel,62000,490000
Maruti Suzuki Alto 800 Vxi (make Year 2014) (petrol),Chennai,Maruti Suzuki,Alto 800,2014,Petrol,12000,310000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2012) (die,Chennai,Ford,Figo,2012,Diesel,63000,400000
Toyota Innova (make Year 2011) (diesel),Chennai,Toyota,Innova,2011,Diesel,74000,1250000
Mahindra Xylo E8 Bs-iv (make Year 2012) (diesel),Chennai,Mahindra,Xylo,2012,Diesel,41021,640000
2012 Tata Sumo Gold diesel 39000 Kms,Chennai,Tata,Sumo Gold,2012,Diesel,39000,375000
Ford Fiesta Classic (make Year 2013) (petrol),Chennai,Ford,Fiesta Classic,2013,Petrol,60000,590000
Ford Figo (make Year 2012) (diesel),Chennai,Ford,Figo,2012,Diesel,100000,345000
Honda City (make Year 2011) (petrol),Chennai,Honda,City,2011,Petrol,57000,545000
Nissan Sunny (make Year 2013) (diesel),Chennai,Nissan,Sunny,2013,Diesel,62000,595000
Ford Ecosport good condition automatically,Chennai,Ford,Ecosport,2014,Petrol,23000,640000
Hyundai Verna Fluidic 1.4 Crdi (make Year 2011) (diesel),Chennai,Hyundai,Verna,2011,Diesel,72000,490000
I want to Buy TATA INDICA V2,Chennai,Tata,Indica E V2,2012,Diesel,50000,200000
City 2015 VX top end for Sale!,Chennai,Honda,City,2015,Petrol,9500,900000
Hyundai I20 Asta 1.2 (make Year 2012) (diesel),Chennai,Hyundai,I20,2012,Diesel,45000,540000
Ford Fiesta Classic (make Year 2012) (diesel),Chennai,Ford,Fiesta Classic,2012,Diesel,61000,470000
Mahindra car for sale,Chennai,Mahindra,Quanto,2012,Diesel,30000,400000
Hyundai I10 Sportz 1.2 (make Year 2015) (petrol),Chennai,Hyundai,I10,2015,Petrol,13000,460000
Maruti Suzuki Swift Vxi (make Year 2012) (petrol),Chennai,Maruti Suzuki,Swift,2012,Petrol,37000,480000
2015 Honda City diesel 22000 Kms,Chennai,Honda,City,2015,Diesel,22000,880000
Maruti Suzuki Sx4 Zdi (make Year 2011) (diesel),Chennai,Maruti Suzuki,Sx4,2011,Diesel,69000,465000
Honda Amaze (make Year 2013) (petrol),Chennai,Honda,Amaze,2013,Petrol,23000,550000
Maruti Suzuki Wagon R Vxi Bs-iii (make Year 2014) (petrol),Chennai,Maruti Suzuki,Wagon R,2014,Petrol,20000,410000
Honda Brio V Mt (make Year 2012) (petrol),Chennai,Honda,Brio,2012,Petrol,24000,450000
Maruti Suzuki Wagon R Vxi Bs-iii (make Year 2012) (petrol),Chennai,Maruti Suzuki,Wagon R,2012,Petrol,22000,360000
Nissan Sunny petrol 28000 Kms 2011 year,Chennai,Nissan,Sunny,2011,Petrol,28000,450000
Driver praplam,Chennai,Tata,Indica,2011,Diesel,103200,167000
"Elite i20 era petrol,",Chennai,Hyundai,Elite I20,2016,Petrol,4600,618000
Chevrolet Optra Magnum Lt 2.0 Tcdi (make Year 2012) (diesel),Chennai,Chevrolet,Optra Magnum,2012,Diesel,77000,470000
Ford Figo Duratorq Diesel Zxi 1.4 (make Year 2010) (diesel),Chennai,Ford,Figo,2010,Diesel,75000,325000
Scorpio sale,Chennai,Mahindra,Scorpio,2011,Diesel,70000,630000
Xylo 2010 D2 Model 1/3Life Tax Pied Fc/Insur Not Currant Chengalpattu,Chennai,Mahindra,Xylo,2010,Diesel,113000,240000
Chevrolet Beat Ls Petrol (make Year 2010) (petrol),Chennai,Chevrolet,Beat,2010,Petrol,53000,310000
Hyundai I10 Magna (make Year 2011) (diesel),Chennai,Hyundai,I10,2011,Diesel,60000,425000
Tata Sumo Gold Ex Bs-iv (make Year 2013) (diesel),Chennai,Tata,Sumo Gold,2013,Diesel,61000,435000
Maruti Suzuki Swift Lxi (make Year 2013) (petrol),Chennai,Maruti Suzuki,Swift,2013,Petrol,40000,450000
Maruti suzuki swift 2013 single owner,Chennai,Maruti Suzuki,Swift,2013,Diesel,82000,475000
Mahindra Bolero Slx 2wd (make Year 2010) (diesel),Chennai,Mahindra,Bolero,2010,Diesel,80000,460000
Ford Fiesta Classic (make Year 2012) (petrol),Chennai,Ford,Fiesta Classic,2012,Petrol,74000,315000
Tata Manza (make Year 2010) (petrol),Chennai,Tata,Manza,2010,Petrol,55000,295000
Honda City 1.5 V Mt (make Year 2012) (petrol),Chennai,Honda,City,2012,Petrol,59547,630000
Ford Fiesta Classic  (make Year 2011) (petrol),Chennai,Ford,Fiesta Classic,2011,Petrol,79000,350000
Chevrolet Cruze Lt (make Year 2011) (diesel),Chennai,Chevrolet,Cruze,2011,Diesel,87000,875000
Indica 2012 t board single owner drc,Chennai,Tata,Indica V2,2012,Diesel,80000,135000
Renault Scala (make Year 2013) (diesel),Chennai,Renault,Scala,2013,Diesel,81600,523000
Renault Fluence Diesel E2 (make Year 2011) (diesel),Chennai,Renault,Fluence,2011,Diesel,44000,595000
Maruti Suzuki Wagon R Vxi Bs-iii (make Year 2012) (petrol),Chennai,Maruti Suzuki,Wagon R,2012,Petrol,35000,285000
Chevrolet Optra Magnum Lt 2.0 Tcdi (make Year 2010) (diesel),Chennai,Chevrolet,Optra Magnum,2010,Diesel,54000,365000
Volkswagen Vento Highline Diesel (make Year 2012) (diesel),Chennai,Volkswagen,Vento,2012,Diesel,47000,650000
2012 Maruti Suzuki Wagon R petrol 40000 Kms,Chennai,Maruti Suzuki,Wagon R,2012,Petrol,40000,295000
Honda City 1.5 V Mt (make Year 2011) (petrol),Chennai,Honda,City,2011,Petrol,53000,590000
Renault Duster 110 Ps Rxz Diesel (make Year 2012) (diesel),Chennai,Renault,Duster,2012,Diesel,60000,775000
Mahindra xylo car for sale 2014 model,Chennai,Mahindra,Xylo,2014,Diesel,45000,550000
Fiat Grand Punto diesel 70400 Kms 2010 year,Chennai,Fiat,Grand Punto,2010,Diesel,70400,290000
Honda City 1.5 V At (make Year 2010) (petrol),Chennai,Honda,City,2010,Petrol,16000,625000
Mahindra Xuv500 W8 (make Year 2014) (diesel),Chennai,Mahindra,Xuv500,2014,Diesel,200000,757000
Elite i 20 Magna 2015 for sale!!!,Chennai,Hyundai,Elite I20,2015,Petrol,13000,600000
Nissan Micra diesel 76000 Kms 2011 year,Chennai,Nissan,Micra,2011,Diesel,76000,330000
Maruti Suzuki Swift Dzire Vdi (make Year 2012) (diesel),Chennai,Maruti Suzuki,Swift Dzire,2012,Diesel,60000,540000
hyundai verna single owner 2014 model well maintained,Chennai,Hyundai,Verna,2014,Diesel,42000,675000
Ford Figo petrol 15000 Kms 2010 year,Chennai,Ford,Figo,2010,Petrol,15000,199000
well maintained tata zest xma automatic car for sale,Chennai,Tata,Zest,2014,Diesel,40000,620000
Toyota Innova 2.5G,Chennai,Toyota,Innova,2012,Diesel,206500,800000
Ford Ecosport Titanium 1.5 Tdci (make Year 2014) (diesel),Chennai,Ford,Ecosport,2014,Diesel,22000,649000
Single owner 2014 era+,Chennai,Hyundai,Eon,2014,Petrol,18000,270000
2012 Nissan Micra diesel 84500 Kms,Chennai,Nissan,Micra,2012,Diesel,84500,425000
100%not flooded. 2012 Tata Indigo Ecs diesel 123590 Kms,Chennai,Tata,Indigo Ecs,2012,Diesel,123590,200000
BMW 525D Luxury Plus New shape,Chennai,BMW,5 Series,2014,Diesel,17500,4325000
Maruthi EECO 8+1 2013 for Sale,Chennai,Maruti Suzuki,Eeco,2013,Petrol,32000,310000
Hyundai Santro Xing Gl Plus Lpg (make Year 2010) (lpg),Chennai,Hyundai,Santro Xing,2010,LPG,32700,225000
2012 Tata Indigo Cs diesel 85000 Kms,Chennai,Tata,Indigo Cs,2012,Diesel,85000,272000
2013 Maruti Suzuki Swift diesel 42000 Kms,Chennai,Maruti Suzuki,Swift,2013,Diesel,42000,545000
mariti swift zxi show room looking,Chennai,Maruti Suzuki,Swift,2015,Petrol,32000,640000
Chevrolet Tavera Neo 3 Ls- 10 Str Bs-iii (make Year 2014) (d,Chennai,Chevrolet,Tavera,2014,Diesel,65000,775000
Skoda Rapid 1.5 Tdi Cr Elegance (make Year 2012) (petrol),Chennai,Skoda,Rapid,2016,Petrol,47056,425000
Maruti Suzuki Swift Dzire diesel 42000 Kms 2013 year,Chennai,Maruti Suzuki,Swift Dzire,2013,Diesel,42000,510000
Chevrolet Tavera Neo Ls B3 10-str Bs-iii (make Year 2013) (d,Chennai,Chevrolet,Tavera,2013,Diesel,75000,750000
Ml 250 benz diesel,Chennai,Mercedes-Benz,Ml Class,2013,Diesel,64000,3700000
black beauty car santro gls for sale with all acceroies 4 new tyres,Chennai,Hyundai,Santro Xing,2010,Petrol,78000,270000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Chennai,Maruti Suzuki,Swift,2012,Diesel,64000,540000
Skoda Rapid 2013,Chennai,Skoda,Rapid,2013,Diesel,91000,695000
Toyota Innova 2.5 G4 7 Str (make Year 2011) (diesel),Chennai,Toyota,Innova,2011,Diesel,144049,960000
2014 Hyundai Elite I20 diesel 32130 Kms,Chennai,Hyundai,Elite I20,2014,Diesel,32130,680000
Tata Sumo Gold diesel 75000 Kms 2014 year,Chennai,Tata,Sumo Gold,2014,Diesel,75000,275000
Maruti Suzuki Zen Estilo petrol 104000 Kms 2010 year,Chennai,Maruti Suzuki,Zen Estilo,2010,Petrol,104000,160000
Honda Amaze Petrol 2013 SMT,Chennai,Honda,Amaze,2013,Petrol,35000,450000
Maruti Suzuki A-star Vxi (make Year 2016) (petrol),Chennai,Maruti Suzuki,A Star,2016,Petrol,45000,160000
Scorpio S8 for sale,Chennai,Mahindra,Scorpio,2015,Diesel,15500,1200000
Mahindra Bolero Zlx Bs Iv (make Year 2012) (diesel),Chennai,Mahindra,Bolero,2012,Diesel,75150,574500
Skoda Fabia Diesel showroom condition,Chennai,Skoda,Fabia,2011,Diesel,60000,400000
2015 Hyundai Elite I20 diesel 12000 Kms,Chennai,Hyundai,Elite I20,2015,Diesel,12000,670000
Audi A6 Premium 2015 Shape White Color,Chennai,Audi,A6,2014,Diesel,15000,4000000
Mahindra Scorpio Vlx 2wd Airbag Bs-iv (make Year 2012) (dies,Chennai,Mahindra,Scorpio,2012,Diesel,130000,830001
2010 Skoda Fabia diesel 42000 Kms,Chennai,Skoda,Fabia,2010,Diesel,42000,450000
2011 Ford Figo diesel 58000 Kms,Chennai,Ford,Figo,2011,Diesel,58000,350000
Automatic Verna 2012 Model,Chennai,Hyundai,Verna,2012,Diesel,71000,620000
Tata Nano Lx (make Year 2011) (petrol),Chennai,Tata,Nano,2011,Petrol,23985,90000
Toyota Innova 2.5 V 8 Str (make Year 2015) (diesel),Chennai,Toyota,Innova,2015,Diesel,13001,1650004
Ford Classic diesel 54000 Kms 2013 year,Chennai,Ford,Classic,2013,Diesel,54000,540000
Hyundai I20 Sportz 1.2 (make Year 2012) (diesel),Chennai,Hyundai,I20,2012,Diesel,53700,525000
Tata nano car for sale,Chennai,Tata,Nano,2011,Petrol,18000,150000
Tata Manza (make Year 2010) (petrol),Chennai,Tata,Manza,2010,Petrol,55000,295000
Ford Fiesta Sxi 1.4 Tdci (make Year 2012) (diesel),Chennai,Ford,Fiesta,2012,Diesel,57000,490000
"2013 indica V2 Ls sale life tax Rs 2,50,000 nego",Chennai,Tata,Indica V2,2013,Diesel,88300,250000
"Chevrolet Tavera T surrendered,life tax paid",Chennai,Chevrolet,Tavera,2010,Diesel,180000,500000
Maruti Suzuki Swift Vxi (make Year 2012) (petrol),Chennai,Maruti Suzuki,Swift,2012,Petrol,37000,480000
Maruti Suzuki - Swift (VXI) - Facelift model,Chennai,Maruti Suzuki,Swift,2015,Petrol,18000,520000
Chevrolet Cruze diesel 33000 Kms 2017 year,Chennai,Chevrolet,Cruze,2014,Diesel,33000,897000
"White beauty, i20 ASTA, 2013 Diesel, 1 ownr",Chennai,Hyundai,I20,2013,Diesel,45000,465000
2010 Maruti Suzuki Swift Dzire diesel 90000 Kms,Chennai,Maruti Suzuki,Swift Dzire,2010,Diesel,90000,425000
Honda Brio,Chennai,Honda,Brio,2012,Petrol,51000,325000
2014 Tata Indica diesel 71000 Kms,Chennai,Tata,Indica V2,2014,Diesel,71000,350000
2011 Skoda Yeti diesel 70000 Kms,Chennai,Skoda,Yeti,2011,Diesel,70000,725000
Alto k 10 model 2011 owner 1,Chennai,Maruti Suzuki,Alto,2011,Petrol,51000,245000
Chevrolet Tavera B1 7-seater - Bs Iii (make Year 2016) (dies,Chennai,Chevrolet,Tavera,2016,Diesel,150000,265000
Chevrolet sail 2015 petrol,Chennai,Chevrolet,Sail Uva,2015,Petrol,6000,398000
2011 Skoda Yeti 4#4 diesel 70000 Kms,Chennai,Skoda,Yeti,2011,Diesel,70000,720000
Wagon R Lxi - 2011 - 25067 KM - Good Mileage,Chennai,Maruti Suzuki,Wagon R 1.0,2011,Petrol,25000,310000
Honda City petrol 26000 Kms 2010 year,Chennai,Honda,City,2010,Petrol,26000,450000
Volkswagen Vento petrol 25000 Kms 2011 year,Chennai,Volkswagen,Vento,2011,Petrol,25000,475000
Volkswagen Vento diesel 74000 Kms 2011 year,Chennai,Volkswagen,Vento,2011,Diesel,74000,430000
Toyota etios Sedan - Petrol,Chennai,Toyota,Etios,2014,Petrol,21000,570000
Renault Duster 85 Ps Rxe Diesel (make Year 2014) (diesel),Chennai,Renault,Duster,2014,Diesel,34000,690000
Honda Amaze diesel 72000 Kms 2013 year,Chennai,Honda,Amaze,2013,Diesel,72000,475000
Hyundai I10 petrol 38300 Kms 2010 year,Chennai,Hyundai,I10,2010,Petrol,38300,300000
Tata Indica Ev2 Ls (make Year 2013) (diesel),Chennai,Tata,Indica Ev2,2013,Diesel,48000,260000
Single owned car for sale as moving abroad,Chennai,Hyundai,Accent,2010,Petrol,82000,260000
Volkswagen polo,Chennai,Volkswagen,Polo,2015,Diesel,10000,630000
2013 Maruti Suzuki Ritz diesel 40000 Kms,Chennai,Maruti Suzuki,Ritz,2013,Diesel,40000,425000
Maruti Suzuki Ritz diesel 40000 Kms 2013 year,Chennai,Maruti Suzuki,Ritz,2013,Diesel,40000,425000
Nissan Micra XV (Diesal),Chennai,Nissan,Micra,2011,Diesel,118000,300000
Volkswagen Vento diesel 43500 Kms 2013 year,Chennai,Volkswagen,Vento,2013,Diesel,43500,615000
Hyundai I10 (make Year 2012) (petrol),Chennai,Hyundai,I10,2012,Petrol,31737,325000
Nissan sunny day xl 2012. Model gray colour single owner.,Chennai,Nissan,Sunny,2012,Diesel,47869,475000
2012 Maruti Suzuki Wagon R 1.0 petrol 58800 Kms,Chennai,Maruti Suzuki,Wagon R 1.0,2012,Petrol,58800,395000
Volkswagen Jetta diesel 105000 Kms 2011 year,Chennai,Volkswagen,Jetta,2011,Diesel,105000,600000
Maruti Suzuki Celerio Lxi (make Year 2016) (petrol),Chennai,Maruti Suzuki,Celerio,2016,Petrol,11000,290000
Ford Figo Duratorq Diesel Zxi 1.4 (make Year 2010) (diesel),Chennai,Ford,Figo,2010,Diesel,76000,290000
Mahindra Quanto C8 (make Year 2013) (diesel),Chennai,Mahindra,Quanto,2013,Diesel,79035,480000
Honda City 1.5 V Mt (make Year 2011) (petrol),Chennai,Honda,City,2011,Petrol,25000,550000
Tata Indica Vista diesel 50100 Kms 2015 year,Chennai,Tata,Indica Vista,2015,Diesel,50100,500000
Chevrolet Sail 1.2 Ls Abs (make Year 2013) (petrol),Chennai,Chevrolet,Sail,2013,Petrol,75000,450000
Ford Fiesta Sxi 1.4 Tdci (make Year 2010) (diesel),Chennai,Ford,Fiesta,2010,Diesel,114819,330000
Ford Fiesta Sxi 1.4 Tdci (make Year 2010) (diesel),Chennai,Ford,Fiesta,2010,Diesel,114819,330000
Chevrolet Cruze Lt (make Year 2011) (petrol),Chennai,Chevrolet,Cruze,2011,Petrol,63027,650000
Mahindra Quanto C6 (make Year 2012) (diesel),Chennai,Mahindra,Quanto,2012,Diesel,83000,390000
Maruti Suzuki Sx4 Zdi (make Year 2011) (diesel),Chennai,Maruti Suzuki,Sx4,2011,Diesel,86122,470000
Mahindra Thar Di 4wd (make Year 2013) (diesel),Chennai,Mahindra,Thar,2013,Diesel,53000,675000
Chevrolet Beat Lt Petrol (make Year 2010) (petrol),Chennai,Chevrolet,Beat,2010,Petrol,28000,235000
Honda city v idtech model 2014,Chennai,Honda,City,2014,Diesel,26000,850000
Hyundai Elite I20 Magna 1.2 (make Year 2010) (petrol),Chennai,Hyundai,Elite I20,2010,Petrol,45000,300000
Ford Figo petrol 37500 Kms 2011 year,Chennai,Ford,Figo,2011,Petrol,37500,270000
Tavera 2012 neo 3 9+1 sale,Chennai,Chevrolet,Tavera,2012,Diesel,91000,575000
